rid,dateTime,data
rid-39ajqn41tk8,1613554534752,451
rid-ur6iarc6bbo,1613554534754,435
rid-eapk2f2mbro,1613554534754,461
rid-s2n51id0tlo,1613554534755,453
rid-ead7ng8e8o,1613554534755,442
rid-6b37mgf46a8,1613554534755,455
rid-pb0vq59rndg,1613554534755,449
rid-qm9hgmp9oho,1613554534755,437
rid-etv05k2pq,1613554534755,427
rid-c38vj13pcj,1613554534756,439
rid-hid76djb0t8,1613554535764,212
rid-v3jesaaq4ko,1613554535765,221
rid-d8muof52ip,1613554535765,217
rid-c68nbplkfk8,1613554535766,224
rid-1e9k002vn0o,1613554535766,219
rid-u5m36dmscug,1613554535766,239
rid-nsc3l2ued7o,1613554535767,315
rid-7hh89p1dai8,1613554535767,269
rid-p95od4j2ua8,1613554535768,313
rid-na30t6autu8,1613554535768,311
rid-icgqvhuo7s,1613554536767,253
rid-2l684uemdug,1613554536768,217
rid-e0m3br42mr,1613554536768,251
rid-rgd62snlp28,1613554536768,215
rid-75rdqak1nso,1613554536769,257
rid-kusld1db63,1613554536769,259
rid-bhch319dlb,1613554536769,260
rid-s4reodddlmg,1613554536770,264
rid-r4lb5i4a4fg,1613554536770,266
rid-9lgu5qnr818,1613554536770,262
rid-p0i15e6u258,1613554537781,228
rid-q3peharemj8,1613554537781,243
rid-9066l8dl778,1613554537781,235
rid-mih1om5pkho,1613554537781,231
rid-emeea4j5rcg,1613554537782,241
rid-nmr8hu8g49g,1613554537782,239
rid-rjp10adg6fo,1613554537782,237
rid-ji4b7uso6to,1613554537782,263
rid-m7gmbopnph8,1613554537782,252
rid-vsln3945c9,1613554537782,229
rid-u7l4qvi0vj,1613554538793,272
rid-fmi5ppmapr,1613554538794,273
rid-1auaq3f5ul8,1613554538794,275
rid-ptpdms6k48g,1613554538794,267
rid-orc4s1hcml8,1613554538794,279
rid-nlvreqda9no,1613554538794,277
rid-17salp5urjg,1613554538794,280
rid-4ebmibh0bn,1613554538794,285
rid-7broc89gk6g,1613554538795,270
rid-gcgs2d428k,1613554538795,276
rid-kequcd67vf8,1613554539813,281
rid-2cc0opooeo,1613554539813,276
rid-76g7a4grhog,1613554539813,283
rid-h2oteh0jer,1613554539813,273
rid-m44at7l8hkg,1613554539814,286
rid-ceuvtdu132,1613554539814,274
rid-gq5tda3tru,1613554539814,290
rid-n91elfn9c0o,1613554539814,271
rid-oubbftlv5d8,1613554539814,279
rid-cf1n8f1e5t8,1613554539814,270
rid-1gi46k73kl8,1613554540823,351
rid-3uhalo4bajo,1613554540823,353
rid-eesd1g3sc5g,1613554540824,310
rid-7d0c1bll34o,1613554540824,362
rid-r7she8g28po,1613554540824,356
rid-u0e149abd6,1613554540824,355
rid-54hjc0cc9u8,1613554540824,364
rid-854t2c7d6c,1613554540825,349
rid-brfh4rbbgbo,1613554540825,360
rid-5tr9coe0mn,1613554540825,347
rid-oums2r08vdo,1613554541827,283
rid-ps5ugjt1ioo,1613554541827,285
rid-2aevcd3nmrg,1613554541828,278
rid-b5cr62cvgto,1613554541828,273
rid-9cpro0ffn68,1613554541828,287
rid-h246ade4ooo,1613554541828,276
rid-cqg7iihngc,1613554541828,289
rid-oemdkmo9c98,1613554541828,280
rid-ea4f7bo80g8,1613554541828,281
rid-uk285221svg,1613554541829,275
rid-no5e8sodll8,1613554542841,282
rid-er0msusub98,1613554542846,290
rid-pou683ff2jo,1613554542846,294
rid-4m2j6engp8,1613554542846,285
rid-9b996gmncd,1613554542846,279
rid-o02q2nl4dko,1613554542846,288
rid-b81lb8d88n,1613554542847,292
rid-aetrr4rq13o,1613554542847,296
rid-lca06haprto,1613554542847,281
rid-3bak7h7l0b8,1613554542847,287
rid-4i1oeak57q8,1613554543850,276
rid-7gr4c1617e8,1613554543850,288
rid-u8uhjl8hl58,1613554543850,280
rid-hhnah16b438,1613554543851,285
rid-r83cii5ahog,1613554543851,275
rid-obujea9avf,1613554543851,270
rid-jrn2a31blp,1613554543851,272
rid-1pct194lr58,1613554543851,291
rid-nfq80lk6fd,1613554543851,287
rid-fhg8j4sr0so,1613554543852,274
